Location,Name,count
"Noble, Franklin, Milton Sts",American Playground,56
BAY PKWY & CROPSEY AVENUE,Bensonhurst Park,18
DUMONT AVE & BRISTOL ST,Betsy Head Memorial Playground,23
BROOKLYN AVE & PROSPECT PL,Brower Park,24
BROOKLYN AVE & PROSPECT PL,Brower Park,22
KNICKERBOCKER ST ENTRANCE,Maria Hernandez Park,74
IRVING AVE ENTRANCE,Maria Hernandez Park,83
"Knickerbocker, Putnam Aves, Woodbine St",Bushwick Playground,52
"E. 92 ST, SEAVIEW AVE",Dinapoli Playground,4
"Carroll, Court, President, Smith Sts",Carroll Park,81
"Park Ave, Navy St, Flushing Ave, N Eliot Pl",Commodore Barry Park,7
"Lynch, Middleton Sts, Lee Ave",Middleton Playground,9
"Lafayette Ave, E/o Malcolm X Blvd",Lafayette Playground,26
"SHARON & OLIVE STS,MORGAN AVE",Carnegie Playground,8
"Fulton, Cumberland Sts, Greene Ave",Cuyler Gore,96
CROPSEY & BAY 8,Bay 8 Playground,0
14 AVE & 86 ST,Dyker Playground,42
MYRTLE AVE & ST EDWARDS PLAZA,Fort Greene Playground,38
DEKALB AVE & CUMBERLAND ST,Fort Greene Park,87
18 AVE & 56 ST,Gravesend Park,83
"Commercial, Franklin, Dupont Sts",Greenpoint Park,26
"Knickerbocker, Wilson Aves, Weirfield, Halsey Sts",Irving Square Park,25
"Congress, Columbia, Pacific, Hicks Sts",Van Voorhees Park,33
"Ave S, E 14 & E 8 Sts",Wm E Kelly Memorial Park,8
"4TH AVE TO CS ADJ 5TH AVE, BTWN 66TH AND 67TH STREET",Leif Ericson Park,7
"7TH AV (EAST SIDE OF HIGHWAY) TO 8TH AVE, 66TH TO 67TH STREET",Leif Ericson Park,5
"8TH AVE TO FT HAMILTON PKWY, BTWN 66TH AND 67TH STREET",Leif Ericson Park,8
"ROCHESTER AVE, CARROLL ST",Lincoln Terrace Park / Arthur S. Somers Playground,38
"Montrose Ave, Boerum, Lorimer, Leonard Sts",Sternberg Park,43
"Dumont, Blake, Miller Aves, Bradford St",Dr Martin Luther King Jr Park,14
"FILLMORE AVE, MADISON PL",Ps 278 Playground,8
S/O AVE U & E 38 ST,Lenape  Playground,1
GERRITSEN AVE & AVE X,Dr John's Playground,3
"LORIMER ST, DRIGGS AVE",Vincent V Abate Playground,74
"73-75 STS, FT HAMILTON PKWY",Mckinley Park,6
"Tillary St, Jay St, Cathedral Pl, Bridge St",Mclaughlin Park,69
"67 ST & COLONIAL RD, NORTH OF B066-02",Owls Head Park,4
"NR ENT @ COLONIAL RD/67 ST, SOUTH OF B066-01",Owls Head Park,4
Parade Place and Parkside Avenue,Detective Dillon Stewart Playground,16
4 ST & PROSPECT PK W,Third St Playground,6
WEST DRIVE OPP GARFIELD PL,Garfield Tot Lot,6
"PROSPECT PK S/W, VANDERBILT ST",Vanderbilt Playground,6
OCEAN AVE & E LAKE DR,Imagination Playground,35
LINCOLN RD & OCEAN AVE,Lincoln Rd Playground,27
11 ST & PROSPECT PARK W,Harmony Playground,12
95 Prospect Park West,Prospect Park,1
"KING, RICHARDS & DWIGHT STS",Coffey Park,35
"Belmont & Pitkins Aves, Vermont & New Jersey Sts",Grace Playground,18
"Macon St, Howard Ave, Halsey St, Saratoga Ave",Saratoga Square Park,27
SURF AVE & 5 ST,Asser Levy Playground,6
95 ST & SHORE ROAD,Vinland Playground,0
79 ST & SHORE RD,79 St Playground,0
6 AVE BET 41 & 44 STS,Sunset Park,3
"W/O TOMPKINS AVE, E/O MARCY AVE",Herbert Von King Park,10
"N/E SIDE TOMPKINS, LAFAYETTE",Herbert Von King Park,15
"Lee & Division Aves, Roebling St",Sobel Green,40
"Atlantic, Howard Aves, Herkimer St",Weeksville Playground,15
"Anthony St, Vandervoort Ave, Cherry St",Sgt William Dougherty Playground,8
E 95 St Bet Aves K & L,Sledge Playground,27
"55 To 56 Sts, 2 Ave",Martin Luther Playground,3
"New Utrecht To 16 Aves, 70 To 71 Sts",Lt Joseph Petrosino Park,9
"AVE P, BAY PKWY, W 12 ST",Seth Low Playground,17
"Classon Ave, Fulton St, Irving Pl",Crispus Attucks Playground,52
Blake & Euclid Aves,Cyprus Hills Playground,13
Park To Myrtle Aves & Taaffe Pl,Taaffe Playground,38
"Ave V, Stillwell Ave, Ave U, W 13 St",Scarangella Playground,12
"Benson Ave, Bay 43 St, Stillwell Ave",Lafayette Playground,10
"Riverdale, Van Sinderen, Livonia, Snediker Aves",Lions' Pride Playground,2
"Bedford Ave, Ave X To Ave Y, E 24 St",Bill Brown Memorial Playground,12
Hopkinson Ave & Marion St,Marion & Hoparkinson Playground,21
"3 To 4 Sts, 4 To 5 Aves",Washington Park,13
"4 To 5 Sts, 4 To 5 Aves",Terrapin Playground,12
NASSUA  AVE BET MONITOR ST & RUSSELL ST,Monsignor Mcgolrick Playground,27
Smith St Bet Luquer & Nelson Sts,St Mary's Playground,35
Smith St Bet Nelson & Huntington Sts,St Mary's Playground,32
Sullivan Pl W/o Nostrand Ave,Dodger Playground,38
"Wythe Ave To Berry St, Grand To S 1 Sts",William Sheridan Playground,120
BAY 44 & CROPSEY AVE,Calvert Vaux,6
"LORRAINE, CLINTON, HENRY STS",Bush Clinton Park,11
Scholes St & Manhattan To Graham Aves,Martinez Playground,88
"Ocean Pkwy, Ave P, E 3 St",Col David Marcus Mem Playground,20
NEPTUNE & BAYVIEW AVES,Leon S Kaiser Playground,7
"Ft Hamilton Pkwy, Prospect Ave, Greenwood Ave",Greenwood Playground,43
"Bushwick Ave, Aberdeen St, Granite St",Rudd Playground,7
"White St, McKibbin St, & Bogart Sts",Gilbert Ramirez Park,31
"Commercial, Dupont & West Sts",Newtown Barge Terminal Playground,16
"Schermerhorn St, 3 Ave, Nevins St",Sixteen Sycamores Playground,165
"Grove To Linden Sts, Central To Wilson Aves",Heckscher Playground,32
"Marcy Ave, Kosciusko St, Lafayette Ave",Banneker Playground,17
Atlantic & Fountain Aves,City Line Park,31
"Bedford Ave & S 9 St, Division Ave",Bedford Playground,77
"Bergen St, Rockaway Ave, Dean St",Ocean Hill Playground,21
"3 Ave, Nevins, Degraw & Douglas Sts",Thomas Greene Playground,10
New York & Clarkson Aves,Rolf Henry Playground,33
"Elton St, Bet New Lots & Hegeman Aves",Elton Playground,10
"Linwood St, New Lots & Hegeman Aves",Linwood Playground,10
"Ave L, E 17 To E 18 Sts",Paul W Kolbert Playground,14
N E Corner 38 St & Dahill Rd,Jessie And Charles Dome Playground,22
"Ft Hamilton Pkwy, 10 Ave, 52 To 53 Sts",Rappaport Playground,16
"W/s Howard Ave, Pacific To Dean Sts",South Pacific Playground,13
"S 3 St, Berry St & Bedford Ave",Berry Playground,124
Sackman To Powell Sts Bet Glenmore & Pitkin Aves,Powell Playground,16
N/s Ave S Bet Bmt & Ps 255,Kelly Playground,3
82 To 83 St At 18 Ave,Garibaldi Playground,5
EASTERN PKWY BETWEEN WASHINGTON AVE & FLATBUSH AVE,Mt Prospect Park,30
Underhill Ave & Prospect Pl,Underhill Playground,75
"42 To 43 Sts, 10 To New Utrecht Aves",Nicholas A. Brizzi Playground,7
"Atlantic Ave, Elton To Linwood Sts",Sperandeo Brothers Playground,23
Shore Pkwy & 17 Ave,Bath Beach Playground,7
"Shore Pkwy To Williams Ct, E 12 St",Homecrest Playground,30
"Havemeyer To Roebling Sts, S 4 To S 5 Sts",La Guardia Playground,158
"S 5 St, Broadway, Havemeyer St",La Guardia Playground South,150
W/s Brighton 2 St At Boardwalk,Brighton Playground,13
"Surf Ave, W 25 To W 27 Sts, Boardwalk",Poseidon Playground,6
"Colonial Rd, 83 To 85 Sts",Russell Pederson Playground,0
"Albany, East New York, Lefferts Aves",Hamilton Metz Field,17
"Ave V, E 13 St & E 14 St",Mellett Playground,44
Stuyvesant Ave & Marion St,Fulton Park East,14
"Ave H, Kings Highway & E 49 St",Sunners Playgournd,9
E 38 St & Ryder St,Sarsfield Playground,12
"Nostrand Ave & Ave P, Kings Highway",Pfc Thomas Norton Mem Playground,14
"Bedford Ave & Gravesend Neck Rd, Ave V, E 24 St",Joe Galapo Playground,29
"64 To 65 Sts, 3 Ave",John Allen Payne Park,1
34 To 35 Sts & 3 Ave,John D'emic Sr Memorial Park,111
"Clinton St, Nelson St, Hamilton Ave",Admiral Playground,27
"Hamilton Ave, Van Brunt & Summit Sts",Harold Ickes Playground,22
"40 & 41 Sts, 3 Ave",Playground Three-forty,111
"46 & 47 Sts, 3 Ave",Ps 1 Playground,1
"W/s Gowanus Pkwy, 81 & 82 Sts",PARK STRIP,1
"FT HAMILTON PKWY, 94-95 STS",John J Carty Park,6
"Campus Rd, E 21 St & Ave H",Hot Spot Tot Lot,4
"STANLEY AVE, LINDEN BLVD",Linden Park,24
"STANLEY AVE, LINDEN BLVD",Linden Park,22
"Decatur,macdonough Sts,m Garvey Blvd, Lewis Ave",Decatur Playground,31
"M Garvey Blvd, Madison To Monroe Sts",Israel Putnam,18
"Myrtle, Nostrand, Marcy Aves",Marcy Playground,17
"Foster Ave & Farragut Rd, E 40 St, Albany Ave",Paerdegat Park,8
"Fulton,truxton Sts, Van Sinderen Ave,eastern Pkwy",Callahan-kelly Playground,10
"Park, Washington Aves To Hall St",Washington Hall Park,48
"Flushing, Steuben St, Bklyn Queens Exwy",Steuben Playground,32
"Bqe Promenade, Pierrepont Pl, Montague St",Pierrepont Playground,39
"Rapelye, Hicks, Coles St",Dimattina Playground,29
"Rapelye To Woodhull, Hicks Sts",Dimattina Playground,37
"Columbia Hts, Middagh, Cranberry & Willow Sts",Harry Chapin Park,39
"Broadway, Rodney, S 5 Sts",Rodney Park Center,115
"Rodney, S 4 & S 5 Sts",Rodney Park North,123
"Rodney, S 3 & S 4 Sts",Rodney Playground South,133
"Rodney, S 3 St",Rodney Playground Center,142
"Borinquen, Rodney & S 1 St",Rodney Playground North,152
"Hope St, Marcy, Metropolitan Aves",Jaime Campiz Playground,152
"Monroe To Madison Sts, Patchen & Ralph Aves",Plce Ofcr Reinaldo Salgado Playground,24
"Atlantic Ave, Herkimer St, Kingston Ave",St Andrew's Playground,35
Rockaway Ave Bet Blake & Dumont Aves,Ps 125 Playground,22
Mother Gaston Blvd & Sutter Av,Dr Richard Green Playground,31
"Hoyt, Wyckoff, Bond Sts",Gowanus Playground,70
Dean To Bergen Sts Bet 6 & Carlton Aves,Dean Playground,94
"Tilden Ave, E 48 To E 49 Sts",Tilden Playground,32
"Ave V, Nostrand & Batchelder Sts",Dolgon Playground,38
Ralph Ave & Farragut Rd,Glenwood Playground,13
"BEDFORD AVE, HANCOCK ST, JEFFERSON AVE",Hancock Playground,54
"Ave Z, Nostrand Ave To E 29 St",Sheepshead Playground,26
"E/s Gold St, Nassau To Concord Sts",Ashford Playground,39
"Mcdonald Ave, Bet Aves S & T",Mcdonald Playground,32
"Troy Ave, Bergen St, Prospect Pl, Schenectady Ave",St Johns Recreation Center,28
TROY AVE & PROSPECT PLACE,St Johns Recreation Center,31
Wortman Ave & Warwick St,Jerome Playground,4
LOUISIANA & FLATLANDS AVE,Breukelen  Playground,7
"Aves H & I, E 54 To E 55 Sts",Fox Playground,9
"Dumont Ave, Powell St",Van Dyke Playground,10
Nostrand & Foster Aves,Nostrand Playground,45
FALMOUTH ST & ORIENTAL AVE,Pat Perlato Playground.,1
MACKENZIE & ORIENTAL AVES,Manhattan Beach Park,3
N/s Ave Z Bet West St & W 1 St,West Playground,16
"Adelphi St, Clermont, Dekalb, Willoughby Aves",Parham Playground,63
S E Corner Brooklyn Ave & Rutland Rd,Wingate Park,15
"S/s Exwy, 5 & 6 Aves, 17 St",Sitting Area,9
"W/s Exwy, 11 Ave To Seeley St At 19 St",Cuite Park,6
"Frost St, Kingsland & Morgan Aves",Frost Playground,14
W/s Ralph Ave Bet Sumpter & Chauncey Sts,Brevoort Playground,18
Lafayette & Washington Aves,Underwood Park,52
Glenmore & Mother Gaston Blvd,Howard Playground & Pool,30
"Livonia Ave, Barbey St & Schenck Ave",Schenck Playground,10
"Tompkins Ave, Halsey & Macon Sts",Macon Playground,32
"M Garvey Blvd, Throop, Park & Myrtle Aves",Sumner Playground,42
"Wilson & Lee Aves, Taylor St, Bedford Ave",Roebling Playground,27
55 & 56 Sts At 6 Ave,Rainbow Park,294
Franklin Ave Bet Willoughby & Dekalb Aves,Star Spangled Playground,48
"Rogers Ave, Winthrop St, Parkside Ave",Parkside Playground,12
"Public Beach, W 29 & W 32 Sts",Nautilus Playground,5
Stuyvesant & Lafayette Aves,Jesse Owens Playground,25
"Linden Blvd, Hegeman & Christopher Aves",Brownsville Rec Center & Playground,3
Ditmas Ave Bet E 91 & E 92 Sts,Ditmas Playground,13
W 11 St & Ave W,Marlboro Playground,8
S/s Seaview Ave Opp E 99 St,Bay View,7
"Shore Pkwy, Brighton 3 St, 4 Rd",Grady Playground,11
Bath Ave Bet Bay 22 & Bay 23 Sts,Benson Playground,138
"Aves J & K, E 100 To E 101 Sts",Wilson Playground,18
"80 To 81 Sts, 11 To 12 Aves",Patrick O?Rourke Park,0
"Pitkin Ave, Drew St, Belmont, N Conduit Aves",Belmont Playground,16
"Sterling St, Empire Blvd & New York Ave",Marc & Jason's Playground,28
Ave D Bet E 56 & E 57 St,Harry Maze Playground,11
Bartlett St & Throop Ave,Bartlett Playground,40
Ave K & Nostrand Ave,Andries Playground,10
6 Ave Bet 18 & 19 Sts,Slope Park,9
Ave N & Utica Ave,Power Playground,23
"Willoughby Ave, Emerson Pl",Pratt Playground,49
Lafayette & Classon Aves,Classon Playground,48
Reid St Bet Chauncey And Marion Sts,Jackie Robinson Park,11
"Flushing Ave, N Portland Ave & N Oxford St",Oxport Playground,10
"Surf Ave, W 8 St To W 12 St",Luna Park Playground,35
"Albemarle Rd, Dahill Rd, Mcdonald Ave",Albemarle Playground,66
"Park Ave, Floyd St, E/o Marcy Ave",Stockton Playground,14
Adelphi & Myrtle Aves,Oracle Playground,63
Greene Ave Bet Waverly & Washington Aves,Greene Playground,55
"Hopkins To Ellery Streets, Tomkins To Throop Aves",Charlie's Place,39
"Lenox Rd, Clarkson Ave, E 93 & E 94 Sts",Kennedy-king Playground,14
"Aves J & K, 103 & 104 Sts",Ave J Playground,1
"Ave Y, Bet Brown & Haring Sts",Ps 286 Playground,13
"Evergreen Ave, Eldert & Covert Sts",Tiger Playground,22
Ave Y Bet Coyle & Batchelder Sts,Yak Playground,14
Stanley Ave & Eldert Lane,Pink Playground,4
"Flushing Ave, Bushwick Ave & Humboldt St",Buswhick Pool,52
"Bushwick Ave, Scholes & Meserole Sts",Ten Eyck Playground,44
"Stanley Ave, Autumn Ave, & Hemlock St",Woodruff Playground,1
"Reid Ave, Macon & Macdonough Sts",El Hajj Malik El Shabazz Playground,18
"Surf Ave, W 25 & W 27 Sts",Surf Playground,7
Mcdonald Ave & Ave F,Digilio Playground,14
Lafayette & Franklin Aves,Lafayette Gardens,54
"Berkeley Pl, Lincoln Pl, 5 & 6 Aves",Park Slope Playground,32
"Dekalb Ave, Adelphi St & Carlton Ave",Edmonds Playground,82
M Garvey Blvd Bet Hart & Pulaski Sts,Pulaski Playground,12
"Monroe St, Tompkins Ave, Madison St & Marcy Ave",Hattie Carthan Playground,16
Ave K Bet E 58 & E 59 Sts,Jacob Joffe Fields,10
Saratoga Ave Bet Herkimer & Fulton Sts,Fish Playground,10
"Congress & Clinton Sts, Verandah Pl",Cobble Hill Park,88
"MILL & STRICKLAND AVES, 60 ST",Lindower,14
Veterans Ave Bet E 68 & E 66 Sts,Hickman Playground,17
Neptune Ave & W 12 St,Neptune Playground,42
"Evergreen Ave & Decatur, Schaefer Sts",Evergreen Playground,16
"Troutman St & Central Ave, Starr St & Wilson Ave",Fermi Playground,59
Flatlands Ave Bet E 81 & E 82 Sts,Bildersee Playground,13
W Brighton Ave Bet W 2 & W 3 Sts,Century Playground,9
"Newport Ave & Thatford Ave, Osborne St",Newport Playground,6
"Flushing Ave & Beaver St, Garden St",Garden Playground,45
"Glenwood Rd, E 100 & E 101 Sts",100% Playground,21
"Linden Blvd & Osborn St, Thatford Ave",Osborn Playground,3
"Wortman Ave, Vermont St, New Jersey Ave",Ethan Allen Playground,21
Manhattan Ave & Leonard St,Ericsson Playground,65
"Ralph Ave, Sumpter St, Howard Ave, Marion St",Carver Playground,19
"Tompkins, Willoughby, Vernon Aves",Willoughby Playground,12
Bath Ave Bet 24 Ave & Bay 37 St,Bath Playground,9
"Classon Ave, Sterling Pl & Park Pl",Elijah Stroud Playground,59
"S/s Foster Ave, E 81 & E 82 Sts",Curtis Park,11
"Ave T, Ave N, E 71 & E 72 Sts",Bergen Beach Playground,4
"N/s Pacific St, Bet Nevins St & 3 Ave",North Pacific Playground,143
"Sullivan Pl, Franklin Ave, Montgomery St",Jackie Robinson Playground,26
Harrison Ave Bet Walton & Lorimer Sts,Eugenio Maria De Hostos Playground,16
"Lewis, Dekalb & Stuyvesant Aves, Kosciusko St",Eleanor Roosevelt Playground,32
"Remsen Ave, Glenwood Rd, E 92 St, Bay View Pl",Remsen Playground,5
"Warren, Smith, Hoyt & Baltic Sts",Boerum Park,112
"Chester St, Sutter Ave, Bristol St, Pitkin Ave",Chester Playground,27
"Powell St & Liberty Ave, Sackman St, Glenmore Ave",Houston Playground,15
"Bergen St & Utica Ave, Rochester & St Marks Ave",Woods Playground,19
"E 45-e 46 Sts, Glenwood To Farragut Rds",Chiarantano Fields,8
"Belmont, Sutter, Sheridan & Grant Aves",Robert Venable Park,18
Broadway Bet Granite & Aberdeen Sts,Thomas Boyland Park,18
Clymer St Bet Wythe And Kent Aves,Jacob's Ladder Playground,2
Hopkinson Bet Dean & Pacific Streets,Saratoga Ballfields,12
"Woodruff, Ocean & Crooke Aves",Umma Park,45
President Street Bet Van Brunt & Columbia Streets,Mother Cabrini Park,26
Argyle And Cortelyou Rds,Lt. Federico Narvaez Tot Lot,42
"Osborn St, Watkins St, Riverdale",Nehemiah Park,5
"Christopher St, Sutter Av, Belmont Av",Carter G Woodson Childrens Park,23
"Wyona St, Vermont St, Fulton St, Jamaica Ave, Arln",Wyona Street Playground,18
E.94th St B/w E. New York Ave & Rutland Road,East Flatbush Children's Park,28
"Berry St, S. 9th St, S. 10th St",Epiphany Playground,72
"South Oxford St, Cumberland St, Atlantic Ave",South Oxford Park,105
Lewis Avenue & Willoughby Av,Lewis Playground,33
B. 14 ST & CORBIN PLACE,GREENSTREET,15
"Convent & Amsterdam Aves, W 135 St",Annunciation Park,25
STATE & SOUTH STS,The Battery,125
"Ft Washington Ave, W 183 St, Pinehurst Ave",Bennett Park,40
"62 ST, BET WEST & CENTER DRS",Heckscher Playground,20
67 ST & 5TH AVE,Billy Johnson Playground,11
72 ST & EAST GREEN,East 72nd St Playground,15
68 ST & CENTRAL PARK WEST,Adventure Playground,127
68 ST & CENTRAL PARK WEST,West 68th St Playground,121
"77 ST, W/O 5TH AVE",James Michael Levin Playground,17
79 ST & 5 AV,Pat Hoffman Friedman Playground,17
85 ST & 5TH AVE,Ancient Playground,14
"84 ST, W/O EAST DRIVE",Great Lawn Playground,1
81 ST & CENTRAL PK WEST,Diana Ross Playground,73
84 ST & CENTRAL PARK WEST,Mariner's Gate Playground,74
"86 ST, W/O WEST DRIVE",Spector Playground,29
"96 ST, W/O FIFTH AVE",East 96th St Playground,26
91 ST & CENTRAL PARK WEST,Safari Playground,13
93 ST & CENTRAL PARK WEST,Wild West Playground,12
